"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ESH84RAP","journalArticle","2023","Tseng, Cheng-Jui; Tang, Changjiang","An optimized XGBoost technique for accurate brain tumor detection using feature selection and image segmentation","Healthcare Analytics","","27724425","10.1016/j.health.2023.100217","https://linkinghub.elsevier.com/retrieve/pii/S2772442523000849","An abnormal multiplication of cells in the brain forms malignant and benign brain tumors. Malignant brain tumors are more prevalent than benign ones. Detecting a tumor’s physical features may be tedious and timeconsuming for medical experts due to the complexity of a tumor’s structure and noise growth in Magnetic Resonance Imaging (MRI) data. Detecting and localizing tumors at an early stage in their growth is crucial. Complex structures and precise clinical identification using segmentation are considered the norm in medical imaging. As the quantity of images rises, the radiologist’s manual tumor assessment might result in an incorrect conclusion. Due to the likelihood of human error, the evaluation and categorization of medical images require an automated method. This paper optimizes the eXtreme Gradient Boosting (XGBoost) approach through image processing and feature selection for the reliable identification of brain tumors. Images are improved using the Contrast-Limited Adaptive Histogram Equalization (CLAHE) method. The K-Means algorithm divides images into sections. This segmentation assists in pinpointing the specific area of interest. Particle Swarm Optimization (PSO) is used to choose characteristics. The data is classified by XGBoost, Naive Bayes, and the Iterative Dichotomiser 3 (ID3). According to the experimental results, the suggested PSO-XGBoost model achieved 97% accuracy, 97% specificity, 98% precision, and 98% recall.","2023-12","2026-06-16 13:49:41","2026-06-16 13:49:42","2026-06-16 13:49:41","100217","","","4","","Healthcare Analytics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLC2FRST","journalArticle","2025","Jafari, Mostafa; Rahmani, Masoumeh; Alibabaei, Sanaz; Fatahiasl, Jafar; Razmjoo, Sasan; Birgani, Mohammad Javad Tahmasebi; Tahmasbi, Marziyeh","Hybrid Radiomics and Machine Learning for Brain Tumors Multi‐Task Classification: An Exploratory Study on Integrating GLCM and Curvelet‐Based Features for Enhanced Accuracy","Health Science Reports","","2398-8835, 2398-8835","10.1002/hsr2.71195","https://onlinelibrary.wiley.com/doi/10.1002/hsr2.71195","Background and Aims: Accurate classification of brain tumors is vital for effective treatment planning. Manual assessment of ‘magnetic resonance imaging (MRI) scans is often subjective and time-consuming. This exploratory study proposes a machine learning approach integrating radiomic features from contrast-enhanced T1-weighted MRI scans to improve classification accuracy for glioblastomas (GBM), meningiomas, brain metastases, and normal controls (NC). Methods: A total of 154 patients (74 GBM, 62 meningioma, 18 brain metastases) and 170 NCs were included in the study. MRI scans underwent standard preprocessing. To address class imbalance, data augmentation was applied to the GBM, meningioma, and brain metastases groups, increasing their sample sizes to 148, 124, and 180 cases, respectively. Radiomic features were extracted using gray-level co-occurrence matrix (GLCM) analysis and Curvelet-based transformations. Feature selection was performed using the Least Absolute Shrinkage and Selection Operator (LASSO), followed by multicollinearity assessment using the Spearman correlation test. Principal component analysis (PCA) was also performed. Nine machine leamning classifiers, including Random Forest (RF), K-Nearest Neighbors (KNN), Categorical Boosting (CatBoost), Extreme Gradient Boosting (XGBoost), Support Vector Machine (SVM), Logistic Regression (LR), Naive Bayes, AdaBoost, and LightGBM, were trained and evaluated. Results: Random Forest and CatBoost achieved the highest performance, with 95.2% accuracy using LASSO-selected features, outperforming other classifiers. Combining GLCM and Curvelet features improved accuracy over either set alone. PCA-based dimensionality reduction (99% variance) also performed well, but slightly below LASSO. Conclusion: Integrating Curvelet and GLCM-based radiomics with optimized models improves diagnostic accuracy, offering a promising tool to assist radiologists in tumor classification.","2025-08","2026-06-16 13:49:44","2026-06-16 13:49:45","2026-06-16 13:49:44","e71195","","8","8","","Health Science Reports","Hybrid Radiomics and Machine Learning for Brain Tumors Multi‐Task Classification","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\FERRA\Zotero\storage\4VHMQ4DV\Jafari et al. - 2025 - Hybrid Radiomics and Machine Learning for Brain Tumors Multi‐Task Classification An Exploratory Stu.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KFTAN45K","journalArticle","2025","Hussain, Mohammed Ibrahim; Chowdhury, Safiul Haque; Hossain, Muhammad Minoar; Mamun, Mohammad","NeuroBlend-3: Hybrid Deep and Machine Learning Framework with Explainable AI for Multi-class Brain Tumor Detection Using MRI Scans","Medinformatics","","3029-1321","10.47852/bonviewMEDIN52026540","https://ojs.bonviewpress.com/index.php/MEDIN/article/view/6540","Brain tumors are complex and potentially life-threatening conditions that require accurate and timely diagnosis. This study proposes NeuroBlend-3, an explainable and hybrid artificial intelligence (AI) framework for multi-class brain tumor classification using magnetic resonance imaging scans. The framework begins with preprocessing steps, including grayscale conversion, resizing to 224 × 224 pixels, normalization, denoising, and enhancement using Contrast Limited Adaptive Histogram Equalization. To increase data variability, five augmented versions of each image are generated through horizontal flip, 15° rotation, zooming, Gaussian blur, and brightness adjustment. Deep features are then extracted using six models: HRNet, VGG16, VGG19, ResNet50, ResNet101, and Convolutional Neural Network–Long Short-Term Memory (CNN-LSTM). These features undergo optimization using principal component analysis and recursive feature elimination (RFE) to reduce redundancy and improve performance. The optimized features train machine learning models, including XGBoost, AdaBoost, Bagging, and a custom Tree Selection and Stacking Ensemble-based Random Forest (TSRF). To ensure interpretability, explainable AI techniques such as Gradient-weighted Class Activation Mapping (Grad-CAM), Grad-CAM++, and Local Interpretable Model-Agnostic Explanations are applied to highlight the regions influencing classification decisions. The combination of CNN-LSTM, TSRF, and RFE demonstrates superior performance across all metrics through extensive experimentation. This bestperforming combination is termed NeuroBlend-3. Neuro reflects the neurological focus, Blend denotes the fusion of deep and traditional learning approaches, and 3 signifies the integration of CNN-LSTM, TSRF, and RFE. NeuroBlend-3 offers a robust and interpretable solution, making it highly suitable for clinical decision-making in brain tumor diagnosis.","2025-11-04","2026-06-16 13:49:46","2026-06-16 13:49:47","2026-06-16 13:49:46","56-66","","1","3","","MEDIN","NeuroBlend-3","","","","","","","en","https://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","C:\Users\FERRA\Zotero\storage\KY9DM4VE\Hussain et al. - 2025 - NeuroBlend-3 Hybrid Deep and Machine Learning Framework with Explainable AI for Multi-class Brain T.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35DMXZX9","journalArticle","2015","University of Sciences and Technology Mohamed Boudiaf USTO-MB, Faculty of Mathematics and Computer Science, Oran, 31000, Algeria; Ahmed Medjahed, Seyyid","A Comparative Study of Feature Extraction Methods in Images Classification","International Journal of Image, Graphics and Signal Processing","","20749074, 20749082","10.5815/ijigsp.2015.03.03","http://www.mecs-press.org/ijigsp/ijigsp-v7-n3/v7n3-3.html","Feature extraction is an important step in image classification. It allows to represent the content of images as perfectly as possible. However, in this paper, we present a comparison protocol of several feature extraction techniques under different classifiers. We evaluate the performance of feature extraction techniques in the context of image classification and we use both binary and multiclass classifications. The analyses of performance are conducted in term of: classification accuracy rate, recall, precision, f-measure and other evaluation measures. The aim of this research is to show the relevant feature extraction technique that improves the classification accuracy rate and provides the most implicit classification data. We analyze the models obtained by each feature extraction method under each classifier.","2015-02-08","2026-06-16 13:49:48","2026-06-16 13:49:48","2026-06-16 13:49:48","16-23","","3","7","","IJIGSP","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\FERRA\Zotero\storage\ZV2IERIK\A_Comparative_Study_of_Feature_Extractio.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69UACG92","journalArticle","2024","Bhimavarapu, Usharani; Chintalapudi, Nalini; Battineni, Gopi","Brain Tumor Detection and Categorization with Segmentation of Improved Unsupervised Clustering Approach and Machine Learning Classifier","Bioengineering","","2306-5354","10.3390/bioengineering11030266","https://www.mdpi.com/2306-5354/11/3/266","There is no doubt that brain tumors are one of the leading causes of death in the world. A biopsy is considered the most important procedure in cancer diagnosis, but it comes with drawbacks, including low sensitivity, risks during biopsy treatment, and a lengthy wait for results. Early identification provides patients with a better prognosis and reduces treatment costs. The conventional methods of identifying brain tumors are based on medical professional skills, so there is a possibility of human error. The labor-intensive nature of traditional approaches makes healthcare resources expensive. A variety of imaging methods are available to detect brain tumors, including magnetic resonance imaging (MRI) and computed tomography (CT). Medical imaging research is being advanced by computer-aided diagnostic processes that enable visualization. Using clustering, automatic tumor segmentation leads to accurate tumor detection that reduces risk and helps with effective treatment. This study proposed a better Fuzzy C-Means segmentation algorithm for MRI images. To reduce complexity, the most relevant shape, texture, and color features are selected. The improved Extreme Learning machine classifies the tumors with 98.56% accuracy, 99.14% precision, and 99.25% recall. The proposed classifier consistently demonstrates higher accuracy across all tumor classes compared to existing models. Specifically, the proposed model exhibits accuracy improvements ranging from 1.21% to 6.23% when compared to other models. This consistent enhancement in accuracy emphasizes the robust performance of the proposed classifier, suggesting its potential for more accurate and reliable brain tumor classification. The improved algorithm achieved accuracy, precision, and recall rates of 98.47%, 98.59%, and 98.74% on the Fig share dataset and 99.42%, 99.75%, and 99.28% on the Kaggle dataset, respectively, which surpasses competing algorithms, particularly in detecting glioma grades. The proposed algorithm shows an improvement in accuracy, of approximately 5.39%, in the Fig share dataset and of 6.22% in the Kaggle dataset when compared to existing models. Despite challenges, including artifacts and computational complexity, the study’s commitment to refining the technique and addressing limitations positions the improved FCM model as a noteworthy advancement in the realm of precise and efficient brain tumor identification.","2024-03-08","2026-06-16 13:49:50","2026-06-16 13:49:50","2026-06-16 13:49:50","266","","3","11","","Bioengineering","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\FERRA\Zotero\storage\M85LEJFW\Bhimavarapu et al. - 2024 - Brain Tumor Detection and Categorization with Segmentation of Improved Unsupervised Clustering Appro.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VPD7MHC6","journalArticle","2022","Mandle, Anil Kumar; Sahu, Satya Prakash; Gupta, Govind","Brain Tumor Segmentation and Classification in MRI using Clustering and Kernel-Based SVM","Biomedical and Pharmacology Journal","","24562610, 09746242","10.13005/bpj/2409","https://biomedpharmajournal.org/vol15no2/brain-tumor-segmentation-and-classification-in-mri-using-clustering-and-kernel-based-svm/","Brain tumor and other nervous systems cancer are one of the leading causes of death for many patients. Magnetic resonance imaging (MRI) is the most important medical imaging modality for diagnosing brain tumors and other disorders in the brain. Manual evaluation of several MRI images by radiologists or experts for diagnosing brain tumors especially at early stages is a challenging task. Hence, this paper proposes an automated framework for the segmentation and classification of brain tumors using K-means clustering and kernel-based support vector machine (K-SVM). The major steps of the proposed framework consist of preprocessing, segmentation, feature extraction with selection, and classification. In the preprocessing step, the regions of interest (ROI) are extracted using skull stripping and a median filter. In the next step, the tumor is segmented using an optimized K-means algorithm. Further, discrete wavelet transform (DWT)-based texture features are used for feature extraction, and significant features are selected by principal component analysis (PCA). Finally, the kernel-based support vector machine (K-SVM) is used for the classification of brain tumor types into benign and malignant, with a dataset using 160 MRI images, consisting of 20 normal and 140 abnormal. Experimental findings demonstrated the efficacy of the proposed framework with 98.75% accuracy, 95.43% precision, and 97.65% recall. The simulation findings emphasize the importance of the proposed system as compared to state-of-the-art techniques in terms of coherence parameters and performance.","2022-06-30","2026-06-16 13:49:51","2026-06-16 13:49:51","2026-06-16 13:49:51","699-716","","2","15","","Biomed. Pharmacol. J.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\FERRA\Zotero\storage\ZJ5NYEGY\Mandle et al. - 2022 - Brain Tumor Segmentation and Classification in MRI using Clustering and Kernel-Based SVM.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZTY6QCP6","journalArticle","2025","Alshomrani, Faisal","Challenges and Advances in Classifying Brain Tumors: An Overview of Machine, Deep Learning, and Hybrid Approaches with Future Perspectives in Medical Imaging","Current Medical Imaging Formerly Current Medical Imaging Reviews","","15734056","10.2174/0115734056365191250602124819","https://www.eurekaselect.com/242569/article","Accurate brain tumor classification is essential in neuro-oncology, as it directly informs treatment strategies and influences patient outcomes. This review comprehensively explores machine learning (ML) and deep learning (DL) models that enhance the accuracy and efficiency of brain tumor classification using medical imaging data, particularly Magnetic Resonance Imaging (MRI). As a noninvasive imaging technique, MRI plays a central role in detecting, segmenting, and characterizing brain tumors by providing detailed anatomical views that help distinguish various tumor types, including gliomas, meningiomas, and metastatic brain lesions. The review presents a detailed analysis of diverse ML approaches, from classical algorithms such as Support Vector Machines (SVM) and Decision Trees to advanced DL models, including Convolutional Neural Networks (CNN), Recurrent Neural Networks (RNN), and hybrid architectures that combine multiple techniques for improved performance. Through comparative analysis of recent studies across various datasets, the review evaluates these methods using metrics such as accuracy, sensitivity, specificity, and AUC-ROC, offering insights into their effectiveness and limitations. Significant challenges in the field are examined, including the scarcity of annotated datasets, computational complexity requirements, model interpretability issues, and barriers to clinical integration. The review proposes future directions to address these challenges, highlighting the potential of multi-modal imaging that combines MRI with other imaging modalities, explainable AI frameworks for enhanced model transparency, and privacy-preserving techniques for securing sensitive patient data. This comprehensive analysis demonstrates the transformative potential of ML and DL in advancing brain tumor diagnosis while emphasizing the necessity for continued research and innovation to overcome current limitations and ensure successful clinical implementation for improved patient care.","2025-09-08","2026-06-16 13:49:53","2026-06-16 13:49:54","2026-06-16 13:49:53","e15734056365191","","","21","","CMIR","Challenges and Advances in Classifying Brain Tumors","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\FERRA\Zotero\storage\BGGJMHZC\Alshomrani - 2025 - Challenges and Advances in Classifying Brain Tumors An Overview of Machine, Deep Learning, and Hybr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YA4S9ZSI","journalArticle","2025","Ottoni, Martyna; Kasperczuk, Anna; Tavora, Luis M. N.","Machine Learning in MRI Brain Imaging: A Review of Methods, Challenges, and Future Directions","Diagnostics","","2075-4418","10.3390/diagnostics15212692","https://www.mdpi.com/2075-4418/15/21/2692","In recent years, machine learning (ML) has been increasingly used in many fields, including medicine. Magnetic resonance imaging (MRI) is a non-invasive and effective diagnostic technique; however, manual image analysis is time-consuming and prone to human variability. In response, ML models have been developed to support MRI analysis, particularly in segmentation and classification tasks. This work presents an updated narrative review of ML applications in brain MRI, with a focus on tumor classification and segmentation. A literature search was conducted in PubMed and Scopus databases and Mendeley Catalog (MC)—a publicly accessible bibliographic catalog linked to Elsevier’s Scopus indexing system—covering the period from January 2020 to April 2025. The included studies focused on patients with primary or secondary brain neoplasms and applied machine learning techniques to MRI data for classification or segmentation purposes. Only original research articles written in English and reporting model validation were considered. Studies using animal models, non-imaging data, lacking proper validation, or without accessible full texts (e.g., abstract-only records or publications unavailable through institutional access) were excluded. In total, 108 studies met all inclusion criteria and were analyzed qualitatively. In general, models based on convolutional neural networks (CNNs) were found to dominate current research due to their ability to extract spatial features directly from imaging data. Reported classification accuracies ranged from 95% to 99%, while Dice coefficients for segmentation tasks varied between 0.83 and 0.94. Hybrid architectures (e.g., CNN-SVM, CNN-LSTM) achieved strong results in both classification and segmentation tasks, with accuracies above 95% and Dice scores around 0.90. Transformer-based models, such as the Swin Transformer, reached the highest performance, up to 99.9%. Despite high reported accuracy, challenges remain regarding overfitting, generalization to real-world clinical data, and lack of standardized evaluation protocols. Transfer learning and data augmentation were frequently applied to mitigate limited data availability, while radiomics-based models introduced new avenues for personalized diagnostics. ML has demonstrated substantial potential in enhancing brain MRI analysis and supporting clinical decision-making. Nevertheless, further progress requires rigorous clinical validation, methodological standardization, and comparative benchmarking to bridge the gap between research settings and practical deployment.","2025-10-24","2026-06-16 13:49:55","2026-06-16 13:49:55","2026-06-16 13:49:55","2692","","21","15","","Diagnostics","Machine Learning in MRI Brain Imaging","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\FERRA\Zotero\storage\IGNX3PAJ\Ottoni et al. - 2025 - Machine Learning in MRI Brain Imaging A Review of Methods, Challenges, and Future Directions.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QYM2RTYD","journalArticle","2021","Yu, Yun; Wu, Xi; Chen, Jiu; Cheng, Gong; Zhang, Xin; Wan, Cheng; Hu, Jie; Miao, Shumei; Yin, Yuechuchu; Wang, Zhongmin; Shan, Tao; Jing, Shenqi; Wang, Wenming; Guo, Jianjun; Hu, Xinhua; Liu, Yun","Characterizing Brain Tumor Regions Using Texture Analysis in Magnetic Resonance Imaging","Frontiers in Neuroscience","","1662-453X","10.3389/fnins.2021.634926","https://www.frontiersin.org/articles/10.3389/fnins.2021.634926/full","Purpose: To extract texture features from magnetic resonance imaging (MRI) scans of patients with brain tumors and use them to train a classiﬁcation model for supporting an early diagnosis. Methods: Two groups of regions (control and tumor) were selected from MRI scans of 40 patients with meningioma or glioma. These regions were analyzed to obtain texture features. Statistical analysis was conducted using SPSS (version 20.0), including the Shapiro–Wilk test and Wilcoxon signed-rank test, which were used to test signiﬁcant differences in each feature between the tumor and healthy regions. T-distributed stochastic neighbor embedding (t-SNE) was used to visualize the data distribution so as to avoid tumor selection bias. The Gini impurity index in random forests (RFs) was used to select the top ﬁve out of all features. Based on the ﬁve features, three classiﬁcation models were built respectively with three machine learning classiﬁers: RF, support vector machine (SVM), and back propagation (BP) neural network. Results: Sixteen of the 25 features were signiﬁcantly different between the tumor and healthy areas. Through the Gini impurity index in RFs, standard deviation, ﬁrst-order moment, variance, third-order absolute moment, and third-order central moment were selected to build the classiﬁcation model. The classiﬁcation model trained using the SVM classiﬁer achieved the best performance, with sensitivity, speciﬁcity, and area under the curve of 94.04%, 92.3%, and 0.932, respectively. Conclusion: Texture analysis with an SVM classiﬁer can help differentiate between brain tumor and healthy areas with high speed and accuracy, which would facilitate its clinical application.","2021-06-03","2026-06-16 13:49:57","2026-06-16 13:49:57","2026-06-16 13:49:57","634926","","","15","","Front. Neurosci.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\FERRA\Zotero\storage\ZTX3HD96\Yu et al. - 2021 - Characterizing Brain Tumor Regions Using Texture Analysis in Magnetic Resonance Imaging.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QE777G3L","journalArticle","2024","Dheepak, G.; J., Anita Christaline; Vaishali, D.","Brain tumor classification: a novel approach integrating GLCM, LBP and composite features","Frontiers in Oncology","","2234-943X","10.3389/fonc.2023.1248452","https://www.frontiersin.org/articles/10.3389/fonc.2023.1248452/full","Identifying and classifying tumors are critical in-patient care and treatment planning within the medical domain. Nevertheless, the conventional approach of manually examining tumor images is characterized by its lengthy duration and subjective nature. In response to this challenge, a novel method is proposed that integrates the capabilities of Gray-Level Co-Occurrence Matrix (GLCM) features and Local Binary Pattern (LBP) features to conduct a quantitative analysis of tumor images (Glioma, Meningioma, Pituitary Tumor). The key contribution of this study pertains to the development of interaction features, which are obtained through the outer product of the GLCM and LBP feature vectors. The utilization of this approach greatly enhances the discriminative capability of the extracted features. Furthermore, the methodology incorporates aggregated, statistical, and non-linear features in addition to the interaction features. The GLCM feature vectors are utilized to compute these values, encompassing a range of statistical characteristics and effectively modifying the feature space. The effectiveness of this methodology has been demonstrated on image datasets that include tumors. Integrating GLCM (Gray-Level Co-occurrence Matrix) and LBP (Local Binary Patterns) features offers a comprehensive representation of texture characteristics, enhancing tumor detection and classification precision. The introduced interaction features, a distinctive element of this methodology, provide enhanced discriminative capability, resulting in improved performance. Incorporating aggregated, statistical, and non-linear features enables a more precise representation of crucial tumor image characteristics. When utilized with a linear support vector machine classifier, the approach showcases a better accuracy rate of 99.84%, highlighting its efficacy and promising prospects. The proposed improvement in feature extraction techniques for brain tumor classification has the potential to enhance the precision of medical image processing significantly. The methodology exhibits substantial potential in facilitating clinicians to provide more accurate diagnoses and treatments for brain tumors in forthcoming times.","2024-01-30","2026-06-16 13:49:59","2026-06-16 13:49:59","2026-06-16 13:49:59","1248452","","","13","","Front. Oncol.","Brain tumor classification","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\FERRA\Zotero\storage\39QYMBWJ\Dheepak et al. - 2024 - Brain tumor classification a novel approach integrating GLCM, LBP and composite features.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
