phase1_run_id,input_fingerprint,outcome_hash,saved_at_utc,orientations,pixels_per_cell,cells_per_block,block_norm,n_features,label,FDR,MI,DBI,FDR_n,MI_n,DBI_n,score
20260526T004036_cc51bb0e,ed5424526b9228cac7b2557a5897d45c,cc51bb0e67950f4cada3c32c33b601e4,2026-05-26T00:40:36.221884+00:00,6,"(8, 8)","(2, 2)",L2-Hys,5400,"ori=6 ppc=(8, 8) cpb=(2, 2) norm=L2-Hys",0.01385677679960273,0.015917318966428427,7.17060519645029,0.0,0.0,1.0,0.3333333333333333
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,6,"(16, 16)","(2, 2)",L2-Hys,1176,"ori=6 ppc=(16, 16) cpb=(2, 2) norm=L2-Hys",0.021216995636333034,0.024717354265084923,6.625630813400572,0.9905890843351353,1.0,1.0,0.9968630281117118
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,6,"(16, 16)","(3, 3)",L2-Hys,1944,"ori=6 ppc=(16, 16) cpb=(3, 3) norm=L2-Hys",0.02130674258659875,0.024145815141785914,6.678849895076168,1.0,0.9515143853544017,0.9175921816634922,0.9563688556726313
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,9,"(16, 16)","(3, 3)",L2-Hys,2916,"ori=9 ppc=(16, 16) cpb=(3, 3) norm=L2-Hys",0.01984239019261457,0.02207370064994743,6.809159176913796,0.8464471846382917,0.7757298403298616,0.7158129835425271,0.7793300028368936
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,9,"(16, 16)","(2, 2)",L2-Hys,1764,"ori=9 ppc=(16, 16) cpb=(2, 2) norm=L2-Hys",0.019896990687112936,0.022746323965209654,6.860635322046774,0.8521726231903837,0.8327907720071273,0.6361040392461916,0.7736891448145675
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,12,"(16, 16)","(2, 2)",L2-Hys,2352,"ori=12 ppc=(16, 16) cpb=(2, 2) norm=L2-Hys",0.019072806334261533,0.02076718207309127,6.915643994651781,0.765748188554763,0.6648934099572337,0.5509251042431753,0.660522234251724
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,12,"(16, 16)","(3, 3)",L2-Hys,3888,"ori=12 ppc=(16, 16) cpb=(3, 3) norm=L2-Hys",0.018942383872006287,0.019653398191681878,6.85969610272507,0.7520720158329697,0.5704073216545043,0.6375583863112713,0.653345907932915
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,6,"(8, 8)","(3, 3)",L2-Hys,10584,"ori=6 ppc=(8, 8) cpb=(3, 3) norm=L2-Hys",0.013871991831263867,0.01570437974428671,7.113903229203388,0.2203878556252814,0.23539860770406684,0.24392786810041223,0.23323811047658682
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,6,"(8, 8)","(2, 2)",L2-Hys,5400,"ori=6 ppc=(8, 8) cpb=(2, 2) norm=L2-Hys",0.01385677679960273,0.015917318966428427,7.17060519645029,0.21879239885068058,0.2534629687369603,0.1561269277405568,0.20946076510939923
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,9,"(8, 8)","(2, 2)",L2-Hys,8100,"ori=9 ppc=(8, 8) cpb=(2, 2) norm=L2-Hys",0.013564616162966402,0.015323620234445137,7.129157126595096,0.18815627022639658,0.2030974788499933,0.22030776107109418,0.20385383671582802
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,12,"(8, 8)","(2, 2)",L2-Hys,10800,"ori=12 ppc=(8, 8) cpb=(2, 2) norm=L2-Hys",0.012580391925162117,0.013827840345401233,7.191642933887199,0.08494996327258542,0.07620536536491729,0.12355075411396577,0.09490202758382282
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,9,"(8, 8)","(3, 3)",L2-Hys,15876,"ori=9 ppc=(8, 8) cpb=(3, 3) norm=L2-Hys",0.012750799452919136,0.014236739886271731,7.241389386364051,0.10281899244439918,0.11089370910063923,0.046520176179774,0.08674429257493747
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,12,"(8, 8)","(3, 3)",L2-Hys,21168,"ori=12 ppc=(8, 8) cpb=(3, 3) norm=L2-Hys",0.011770268829769498,0.012929546118758909,7.271432179701509,0.0,0.0,0.0,0.0
