phase1_run_id,input_fingerprint,outcome_hash,saved_at_utc,P,R,method,n_features,label,FDR,MI,DBI,FDR_n,MI_n,DBI_n,score
20260526T004036_cc51bb0e,ed5424526b9228cac7b2557a5897d45c,cc51bb0e67950f4cada3c32c33b601e4,2026-05-26T00:40:36.221884+00:00,8,1,uniform,10,P= 8 R=1 method=uniform,0.1962685095431424,0.11074342398879104,2.8484711389924082,1.0,1.0,1.0,1.0
20260526T004036_cc51bb0e,ed5424526b9228cac7b2557a5897d45c,cc51bb0e67950f4cada3c32c33b601e4,2026-05-26T00:40:36.221884+00:00,8,1,ror,256,P= 8 R=1 method=ror,0.02026162490171246,0.013615662817342238,3.2794818257936247,0.0,0.0,0.8178648938183237,0.27262163127277456
20260526T004036_cc51bb0e,ed5424526b9228cac7b2557a5897d45c,cc51bb0e67950f4cada3c32c33b601e4,2026-05-26T00:40:36.221884+00:00,8,1,nri_uniform,10,P= 8 R=1 method=nri_uniform,0.06688339725718634,0.03893832535763999,5.214905023360047,0.2648860722150391,0.2607149823581178,0.0,0.17520035152438562
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,8,1,uniform,10,P= 8 R=1 method=uniform,0.1962685095431424,0.11074342398879104,2.8484711389924082,1.0,1.0,1.0,1.0
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,12,1,uniform,14,P=12 R=1 method=uniform,0.19104495604285412,0.0989007986148011,3.0726092474338795,0.973204078469739,0.8889123595334402,0.981998177323244,0.9480382051088077
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,16,1,uniform,18,P=16 R=1 method=uniform,0.18649388676739814,0.10040732317409688,3.1114205428341357,0.9498578841257603,0.9030440451446948,0.9788810186102131,0.9439276492935561
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,24,1,uniform,26,P=24 R=1 method=uniform,0.17054911117629126,0.08762998740076985,3.2511094194514976,0.8680639567670492,0.7831885200661667,0.9676618002262156,0.8729714256864772
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,12,2,uniform,14,P=12 R=2 method=uniform,0.13609639934131948,0.07165399554061579,3.475391560181256,0.6913275334139337,0.6333285706198769,0.9496484094866635,0.7581015045068247
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,8,2,uniform,10,P= 8 R=2 method=uniform,0.1285410943057578,0.07068151487769177,3.517912877300079,0.6525701317985537,0.6242063887698241,0.9462332775571681,0.7410032660418486
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,16,2,uniform,18,P=16 R=2 method=uniform,0.11510315188753023,0.0627024507158504,3.6886972232244712,0.5836358228942572,0.5493601969096139,0.9325166029020884,0.6885042075686533
