eval_mode,feature_set,model,acc,f1_macro,best_cv,saved_at_utc,source
split,A — Stats,SVM,0.7879282218597063,0.7677675199973892,0.7774996345159589,2026-05-26T06:50:09.973123+00:00,cache/phase2_checkpoint_manifest.json
split,B — Tex(opt),SVM,0.7830342577487766,0.7585717894931164,0.7723777325677048,2026-05-26T07:35:04.480028+00:00,cache/phase2_checkpoint_manifest.json
split,C — DWT(opt),SVM,0.7292006525285482,0.69565465311353,0.7298590668725409,2026-05-26T09:08:50.921673+00:00,cache/phase2_checkpoint_manifest.json
split,D — HOG,SVM,0.9086460032626428,0.89596022183974,0.9078030665061956,2026-05-26T09:49:31.408308+00:00,cache/phase2_checkpoint_manifest.json
split,A+B,SVM,0.8515497553017944,0.8381637850110358,0.8320176733098428,2026-05-26T10:17:52.945299+00:00,cache/phase2_checkpoint_manifest.json
split,B+C(opt),SVM,0.835236541598695,0.8165505449712533,0.82584121300834,2026-05-26T10:59:37.073279+00:00,cache/phase2_checkpoint_manifest.json
split,A+B+C(opt),SVM,0.8499184339314845,0.8323418979309309,0.8463983161828033,2026-05-26T11:09:35.670936+00:00,cache/phase2_checkpoint_manifest.json
split,Full(opt),SVM,0.9216965742251223,0.9122686516189725,0.9275104116607213,2026-05-26T11:52:16.380086+00:00,cache/phase2_checkpoint_manifest.json
cv_5,A — Stats,SVM,0.7947776417788658,0.7775357819379313,0.7774996345159589,2026-05-26T16:01:54.641534+00:00,cache/phase2_checkpoint_manifest.json
cv_5,B — Tex(opt),SVM,0.7951856385148919,0.7727633111892556,0.7723777325677048,2026-05-26T16:47:12.374093+00:00,cache/phase2_checkpoint_manifest.json
cv_5,C — DWT(opt),SVM,0.7527539779681762,0.7300018963097812,0.7298590668725409,2026-05-26T18:22:20.330926+00:00,cache/phase2_checkpoint_manifest.json
cv_5,D — HOG,SVM,0.9171766625866993,0.9080462440399463,0.9078030665061956,2026-05-26T19:05:46.745234+00:00,cache/phase2_checkpoint_manifest.json
cv_5,A+B,SVM,0.8474092207262341,0.8324194290015948,0.8320176733098428,2026-05-26T19:33:55.475988+00:00,cache/phase2_checkpoint_manifest.json
cv_5,B+C(opt),SVM,0.8404732762137903,0.8259304456229177,0.82584121300834,2026-05-26T20:16:08.254648+00:00,cache/phase2_checkpoint_manifest.json
