dl_model,dl_tier,dl_f1_macro,dl_acc,phase2_feature_set,phase2_best_model,phase2_f1_macro,phase2_acc,delta_f1_dl_minus_p2
vgg16,0,0.930095949538356,0.93,,,,,
resnet50,0,0.9235565529989813,0.9233333333333333,,,,,
efficientnet_b0,0,0.9203895605450009,0.92,,,,,
vit_b_16,0,0.8999304981936205,0.9,,,,,
cnn_glcm,1,0.9230118026453299,0.9233333333333333,B — Tex(opt),RF,0.8117990579341977,0.8133333333333334,0.11121274471113218
lbpnet,1,0.9164610214811657,0.9166666666666666,B — Tex(opt),RF,0.8117990579341977,0.8133333333333334,0.104661963546968
waveletcnn,1,0.919414469926959,0.92,C — DWT(opt),SVM,0.7518131457356437,0.7533333333333333,0.16760132419131524
cnn_hog,1,0.9330631092731067,0.9333333333333333,D — HOG,SVM,0.9028925656052972,0.9033333333333333,0.03017054366780947
multibranch_fusion,2,0.9057881237882289,0.9066666666666666,Full(opt),SVM,0.9299428104575164,0.93,-0.02415468666928744
attention_fusion,2,0.93,0.93,Full(opt),SVM,0.9299428104575164,0.93,5.718954248368213e-05
