Method / Paper,Task / Classes,Reported Metric,Notes
Fully optimized CNN framework for multi-class brain tumor MRI classification [1],Detection; five-class tumor typing; and three-grade classification on MRI [1],"Accuracy: 99.33% for detection, 92.66% for five-class typing, 98.14% for grade classification [1]","Uses grid search to tune hyperparameters; compares against AlexNet, InceptionV3, ResNet-50, VGG-16, and GoogLeNet [1]"
CNN + transfer learning for MRI brain tumor classification [2],Binary tumor vs no-tumor classification [2],"The abstract reports training and test accuracy, but not a single headline F1 value [2]",Useful mainly as an early transfer-learning comparison paper [2]
"CNN for multiclass MRI classification of glioma, meningioma, pituitary, and no tumor [3]",Four-way classification [3],Accuracy: 95.26% [3],A straightforward baseline CNN paper rather than a hybrid or attention-based model [3]
CNN with K-fold cross-validation for multiclass MRI classification [4],"Glioma, pituitary, meningioma, and no tumor [4]",Accuracy: 94.78% [4],Trained on a public Kaggle dataset [4]
"CNN architecture compared with ResNet-50, VGG16, and Inception V3 [5]","Brain cancer detection and classification on 3,265 MR images [5]",Classification precision 93.3%; recall 91.19%; AUC 98.43% [5],This abstract reports precision/recall rather than F1 [5]
CNN-based multiclass classification with four classes and Grad-CAM interpretability [6],"Glioma, meningioma, pituitary tumor, and no tumor [6]",Accuracy: 96.2%; AUC: 0.985 [6],"The abstract says precision, recall, and F1 were assessed, but does not give their values [6]"
Fine-tuned MobileNetV2 and custom CNN/ResNet50 comparison [7],Four-way multiclass MRI classification [7],Best validation accuracy: 83.9% [7],"This is one of the lower-performing multiclass studies in the set, but it is explicit about generalization [7]"
EfficientNetB7 + channel attention + fully connected classifier [8],Multiclass MRI classification [8],"The abstract says the model outperformed recent approaches, but it does not report a numeric accuracy or F1 [8]",Attention-enhanced transfer learning model aimed at better feature extraction [8]
Lightweight multi-path CNN with feature selection [9],Multiclass brain tumor detection/classification on MRI [9],Accuracy: 92.25% with all features; 96.03% with selected features [9],Highlights a tradeoff between model compactness and feature selection [9]
YOLOv11-based deep learning model for MRI classification [10],"Glioma, meningioma, and pituitary [10]",Accuracy: 98.9% [10],The abstract emphasizes detection/classification performance but does not provide F1 [10]
"CNN for multiclass MRI classification trained on 3,500 labeled images [11]","Glioma, meningioma, pituitary tumor, and no tumor [11]",Overall accuracy exceeding 90% [11],The abstract does not provide a precise F1 score [11]
"CNN-based multiclass classifier with 7,023 MRI images [12]","Glioma, meningioma, pituitary tumor, and no tumor [12]",Average test accuracy: 99.4% [12],"One of the highest accuracies in the retrieved set, though the abstract does not report F1 [12]"
CNN classifier with data augmentation and preprocessing [13],"Glioma, meningioma, pituitary tumor, and non-tumor [13]",Accuracy: 95.8% [13],"The abstract also says precision/recall/F1 were evaluated, but gives no numeric F1 value [13]"
"CNN + SVM hybrid, alongside a CNN-only model [14]",Brain MRI classification with BRATS and Sartaj datasets [14],"The abstract says CNN-SVM improved accuracy and mentions F1 as a comparison metric, but no numeric value is given [14]",Useful mainly as evidence that hybrid CNN-classical ML pipelines are being tried [14]
CNN + hybrid classical classifiers after segmentation [15],"Pituitary, meningioma, glioma, or absence of tumor [15]",Random Forest with region-based segmentation reached 99.17% accuracy [15],This is a hybrid ML/DL pipeline rather than a pure CNN-only classifier [15]
"[1] Irmak, 2021. Multi-Classification of Brain Tumor MRI Images Using Deep Convolutional Neural Network with Fully Optimized Framework. Iranian Journal of Science and Technology Transactions of Electrical Engineering."
"[2] Arora & Sharma, 2021. Deep Learning for Brain Tumor Classification from MRI Images. International Conference on Intelligent Information Processing."
"[3] Alkafrawi et al., 2022. Classification of Brain Tumors Using Convolutional Neural Networks. Tobruk University Journal of Engineering Sciences."
"[4] Cige & Sahingoz, 2023. Deep Learning-Based Brain Tumor Detection and Classification of MRI Images. International Conference on Computing Communication and Networking Technologies."
"[5] Chandra et al., 2024. Brain Tumor Detection and Classification Using Deep Learning Models on MRI Scans. EAI Endorsed Transactions on Pervasive Health and Technology."
"[6] Apurva & Vetrithangam, 2025. CNN-Based Multi-Class Classification of Brain Tumors from MRI Scans. 2025 Global Conference on Information Technology and Communication Networks (GITCON)."
"[7] Valencia et al., 2025. CNN based multiclass brain tumor classification from MRI images. 2025 IEEE Colombian Conference on Applications of Computational Intelligence (ColCACI)."
"[8] Naderi et al., 2025. Convolutional Neural Network and Channel Attention Mechanism for Multiclass Brain Tumor Classification. Complex."
"[9] Batool & Byun, 2025. A Lightweight multi-path convolutional neural network architecture using optimal features selection for multiclass classification of brain tumor using magnetic resonance images. Results in Engineering."
"[10] Alamiri et al., 2025. Applying Deep Learning to MRI Image Analysis for Brain Tumor Classification. 2025 6th International Conference on Bio-engineering for Smart Technologies (BioSMART)."
"[11] Deep Learning-Based Multiclass Classification of Brain Tumors from MRI Images: A CNN Approach, 2025. Iconic research and engineering journals."
"[12] D et al., 2025. Advanced CNN Architecture for Multiclass Brain Tumor Classification. International Conference Intelligent Computing and Control Systems."
"[13] Sharma, 2026. BRAIN TUMOR CLASSIFICATION USING DEEP LEARNING CNN TECHNIQUES ON MRI IMAGES. International Journal of Engineering Applied Sciences and Technology."
"[14] Thinger et al., 2025. Brain MRI Classification Using Deep Learning Algorithm. 2025 3rd International Conference on Communication, Security, and Artificial Intelligence (ICCSAI)."
"[15] Hussen & Alsaadi, 2023. Automated Identification and Classification of Brain Tumors Using Hybrid Machine Learning Models and MRI Imaging. Ingénierie des Systèmes d'Information."
