Feature Set,Model,F1-macro,F1 CI Lower,F1 CI Upper,F1 Boot Mean,F1 Boot Std,Accuracy,Acc CI Lower,Acc CI Upper,Acc Boot Mean,Acc Boot Std
Full(opt),SVM,0.9204,0.8895,0.9504,0.9204,0.0158,0.92,0.89,0.95,0.9203,0.016
D — HOG,SVM,0.9032,0.8683,0.9346,0.903,0.0169,0.9033,0.8699,0.9367,0.9036,0.0169
Full(opt),KNN,0.9002,0.866,0.9322,0.9002,0.0169,0.9,0.8667,0.9333,0.9005,0.017
D — HOG,KNN,0.8967,0.8626,0.9283,0.8964,0.017,0.8967,0.86,0.93,0.8969,0.0172
Full(opt),LightGBM,0.8938,0.8592,0.9267,0.8939,0.0178,0.8933,0.8567,0.9267,0.8939,0.018
Full(opt),MLP,0.8839,0.8457,0.9187,0.8835,0.0185,0.8833,0.8467,0.92,0.8834,0.0188
Full(opt),XGBoost,0.88,0.8427,0.9145,0.8795,0.0187,0.88,0.84,0.9133,0.88,0.0189
D — HOG,MLP,0.8767,0.8382,0.9119,0.8764,0.0187,0.8767,0.8367,0.9133,0.8769,0.0189
Full(opt),ExtraTrees,0.8765,0.84,0.9123,0.8761,0.0189,0.8767,0.84,0.9133,0.8768,0.019
Full(opt),RF,0.8728,0.8339,0.9076,0.8724,0.0192,0.8733,0.8367,0.91,0.8735,0.0192
Full(opt),LR,0.8702,0.8306,0.905,0.8696,0.0195,0.87,0.83,0.9067,0.87,0.0196
D — HOG,ExtraTrees,0.8691,0.8323,0.906,0.869,0.0189,0.87,0.8333,0.9067,0.8704,0.0189
D — HOG,XGBoost,0.8626,0.8235,0.8993,0.8624,0.0195,0.8633,0.8266,0.9,0.8637,0.0194
A+B+C(opt),RF,0.8569,0.8168,0.8972,0.8567,0.02,0.8567,0.8167,0.8967,0.857,0.0201
B+C(opt),XGBoost,0.8534,0.8133,0.8915,0.8529,0.0199,0.8533,0.8133,0.8933,0.8534,0.0199
B+C(opt),LightGBM,0.8533,0.8117,0.8909,0.8528,0.0202,0.8533,0.8133,0.89,0.8535,0.0202
A+B+C(opt),XGBoost,0.8533,0.8132,0.8906,0.8527,0.0205,0.8533,0.8133,0.89,0.8533,0.0205
D — HOG,LightGBM,0.8522,0.8124,0.8901,0.8521,0.0201,0.8533,0.8133,0.89,0.8539,0.0199
A+B+C(opt),SVM,0.8515,0.8089,0.8898,0.8511,0.0206,0.85,0.8067,0.89,0.8503,0.0208
A+B,ExtraTrees,0.8505,0.8079,0.8881,0.8501,0.0199,0.85,0.8067,0.8867,0.8502,0.02
A+B,LightGBM,0.847,0.805,0.8857,0.8465,0.0202,0.8467,0.8066,0.8867,0.8468,0.0203
A+B+C(opt),LightGBM,0.8467,0.8043,0.8871,0.8462,0.021,0.8467,0.8066,0.8867,0.8469,0.021
D — HOG,RF,0.8463,0.8056,0.8845,0.846,0.0201,0.8467,0.8067,0.8867,0.847,0.0201
A+B,MLP,0.8452,0.8037,0.8828,0.8445,0.0208,0.8467,0.8033,0.8833,0.8466,0.0207
A+B+C(opt),ExtraTrees,0.8442,0.8028,0.8839,0.844,0.0204,0.8433,0.8,0.8833,0.8437,0.0206
A+B,XGBoost,0.8435,0.8015,0.8845,0.8427,0.0209,0.8433,0.8,0.8833,0.8432,0.021
A+B,RF,0.8434,0.8011,0.8837,0.8426,0.0208,0.8433,0.8033,0.8833,0.8432,0.0208
B+C(opt),SVM,0.8347,0.792,0.873,0.8336,0.0211,0.8333,0.79,0.8733,0.833,0.0214
A+B,SVM,0.8339,0.7912,0.8739,0.8332,0.0208,0.8333,0.7933,0.8734,0.8334,0.0209
B+C(opt),ExtraTrees,0.8309,0.7869,0.872,0.8306,0.0214,0.83,0.7867,0.87,0.8304,0.0216
B — Tex(opt),XGBoost,0.8268,0.7837,0.8684,0.8264,0.0215,0.8267,0.7833,0.87,0.827,0.0216
B — Tex(opt),LightGBM,0.8263,0.7819,0.867,0.8261,0.0217,0.8267,0.7833,0.8667,0.8272,0.0217
