Feature Set,Model,N folds,F1 Mean,F1 Std,F1 CI Lower,F1 CI Upper,Acc Mean,Acc Std,Acc CI Lower,Acc CI Upper
Full(opt),SVM,5,0.8951,0.01,0.8827,0.9074,0.8953,0.0099,0.883,0.9077
Full(opt),LightGBM,5,0.8784,0.0086,0.8677,0.8891,0.8783,0.0083,0.8681,0.8886
Full(opt),ExtraTrees,5,0.8784,0.0044,0.873,0.8838,0.8788,0.0042,0.8736,0.884
Full(opt),RF,5,0.8775,0.0049,0.8715,0.8835,0.878,0.0041,0.8728,0.8832
Full(opt),MLP,5,0.8725,0.011,0.8588,0.8862,0.8728,0.0111,0.859,0.8866
Full(opt),XGBoost,5,0.8724,0.0076,0.8629,0.8818,0.8723,0.0073,0.8633,0.8813
Full(opt),KNN,5,0.8702,0.0201,0.8453,0.8952,0.871,0.02,0.8462,0.8958
D — HOG,SVM,5,0.8699,0.0182,0.8473,0.8925,0.8705,0.018,0.8481,0.8929
A+B+C(opt),LightGBM,5,0.8467,0.0134,0.8301,0.8633,0.8465,0.0131,0.8302,0.8628
A+B,SVM,5,0.8464,0.0049,0.8403,0.8525,0.8457,0.005,0.8395,0.8518
A+B,MLP,5,0.8449,0.0115,0.8306,0.8591,0.8445,0.0113,0.8305,0.8585
Full(opt),LR,5,0.8447,0.0109,0.8311,0.8583,0.8448,0.0106,0.8316,0.858
A+B+C(opt),ExtraTrees,5,0.8445,0.0052,0.8381,0.8509,0.844,0.0049,0.8379,0.8501
D — HOG,XGBoost,5,0.844,0.0083,0.8338,0.8543,0.8448,0.0085,0.8342,0.8554
A+B,ExtraTrees,5,0.8433,0.006,0.8359,0.8507,0.8428,0.0057,0.8358,0.8499
D — HOG,LightGBM,5,0.842,0.0066,0.8338,0.8501,0.8428,0.0066,0.8347,0.851
A+B+C(opt),XGBoost,5,0.8417,0.0088,0.8307,0.8526,0.8415,0.0086,0.8308,0.8522
A+B,LightGBM,5,0.8396,0.0041,0.8346,0.8446,0.8392,0.0038,0.8345,0.8439
D — HOG,RF,5,0.8392,0.0191,0.8154,0.863,0.8405,0.0183,0.8178,0.8632
D — HOG,KNN,5,0.8386,0.0183,0.8159,0.8613,0.84,0.0181,0.8175,0.8625
A+B+C(opt),RF,5,0.8386,0.0083,0.8283,0.8489,0.8383,0.0079,0.8285,0.8481
A+B+C(opt),SVM,5,0.8385,0.0078,0.8288,0.8482,0.838,0.0078,0.8283,0.8477
A+B,XGBoost,5,0.8375,0.0068,0.829,0.846,0.8372,0.007,0.8285,0.8458
A+B,RF,5,0.837,0.0045,0.8314,0.8427,0.8367,0.0042,0.8314,0.8419
A+B+C(opt),MLP,5,0.8357,0.0088,0.8249,0.8466,0.8353,0.0087,0.8245,0.8462
D — HOG,MLP,5,0.8353,0.017,0.8141,0.8565,0.8363,0.0168,0.8155,0.8572
B+C(opt),MLP,5,0.8352,0.0186,0.8121,0.8583,0.835,0.0184,0.8121,0.8579
D — HOG,ExtraTrees,5,0.8346,0.0116,0.8202,0.849,0.836,0.011,0.8223,0.8497
B+C(opt),LightGBM,5,0.8329,0.015,0.8143,0.8515,0.833,0.0148,0.8147,0.8513
B+C(opt),XGBoost,5,0.832,0.0107,0.8186,0.8453,0.832,0.0106,0.8188,0.8452
B+C(opt),ExtraTrees,5,0.829,0.0053,0.8224,0.8356,0.8288,0.0051,0.8225,0.8352
B+C(opt),SVM,5,0.8287,0.0112,0.8148,0.8426,0.8287,0.0111,0.8148,0.8425
A+B,KNN,5,0.8279,0.0064,0.8199,0.8358,0.8275,0.0064,0.8196,0.8354
B+C(opt),RF,5,0.8199,0.0065,0.8118,0.828,0.82,0.0059,0.8126,0.8274
B — Tex(opt),SVM,5,0.8185,0.0082,0.8083,0.8287,0.8185,0.0079,0.8087,0.8283
B — Tex(opt),MLP,5,0.818,0.0154,0.7988,0.8371,0.8178,0.015,0.7992,0.8365
A+B+C(opt),KNN,5,0.8167,0.0075,0.8073,0.826,0.8165,0.0076,0.8071,0.8259
A+B+C(opt),LR,5,0.8158,0.0019,0.8135,0.8181,0.8155,0.0016,0.8135,0.8175
A+B,LR,5,0.8146,0.0035,0.8103,0.8189,0.8142,0.0039,0.8093,0.819
B — Tex(opt),LightGBM,5,0.8055,0.0083,0.7952,0.8158,0.8057,0.0082,0.7955,0.8158
B — Tex(opt),XGBoost,5,0.8025,0.0083,0.7922,0.8128,0.8025,0.0086,0.7919,0.8131
B+C(opt),KNN,5,0.8019,0.0082,0.7918,0.8121,0.8023,0.008,0.7924,0.8122
B+C(opt),LR,5,0.8013,0.0017,0.7992,0.8034,0.8012,0.0018,0.7989,0.8034
B — Tex(opt),ExtraTrees,5,0.797,0.0069,0.7883,0.8056,0.797,0.007,0.7883,0.8057
B — Tex(opt),RF,5,0.796,0.0038,0.7913,0.8008,0.7963,0.0039,0.7915,0.8012
A — Stats,SVM,5,0.7914,0.0092,0.78,0.8029,0.7898,0.009,0.7786,0.8011
D — HOG,LR,5,0.7824,0.0122,0.7672,0.7976,0.7832,0.0116,0.7688,0.7976
B — Tex(opt),KNN,5,0.7821,0.0045,0.7765,0.7877,0.7825,0.0048,0.7766,0.7884
B — Tex(opt),LR,5,0.7798,0.0059,0.7726,0.7871,0.7798,0.0058,0.7726,0.787
A — Stats,MLP,5,0.7715,0.0131,0.7553,0.7878,0.77,0.0131,0.7537,0.7863
A — Stats,LightGBM,5,0.7647,0.0092,0.7533,0.7761,0.7638,0.0086,0.7531,0.7746
A — Stats,ExtraTrees,5,0.7602,0.005,0.7539,0.7664,0.7585,0.005,0.7523,0.7647
A — Stats,RF,5,0.7598,0.009,0.7487,0.7709,0.7588,0.0091,0.7476,0.7701
A — Stats,LR,5,0.7597,0.0031,0.7559,0.7636,0.7592,0.0039,0.7544,0.764
A — Stats,XGBoost,5,0.7578,0.0061,0.7503,0.7654,0.7568,0.006,0.7494,0.7643
A — Stats,KNN,5,0.7493,0.0046,0.7435,0.7551,0.7467,0.0044,0.7411,0.7522
C — DWT(opt),ExtraTrees,5,0.7407,0.0228,0.7124,0.769,0.742,0.0229,0.7136,0.7704
C — DWT(opt),LightGBM,5,0.732,0.0193,0.708,0.756,0.7323,0.0193,0.7084,0.7562
C — DWT(opt),XGBoost,5,0.7312,0.0257,0.6994,0.7631,0.732,0.0257,0.7001,0.7639
C — DWT(opt),SVM,5,0.7286,0.0086,0.718,0.7392,0.729,0.0093,0.7174,0.7406
C — DWT(opt),MLP,5,0.7282,0.0179,0.706,0.7503,0.7293,0.0192,0.7055,0.7532
C — DWT(opt),RF,5,0.7278,0.0232,0.6989,0.7566,0.7287,0.0229,0.7002,0.7572
C — DWT(opt),LR,5,0.7037,0.0029,0.7002,0.7073,0.7053,0.002,0.7028,0.7078
C — DWT(opt),KNN,5,0.6998,0.0266,0.6668,0.7328,0.7015,0.026,0.6692,0.7338
