Feature Set,Model,F1-macro,F1 CI Lower,F1 CI Upper,F1 Boot Mean,F1 Boot Std,Accuracy,Acc CI Lower,Acc CI Upper,Acc Boot Mean,Acc Boot Std
Full(opt),SVM,0.9204,0.8895,0.9504,0.9204,0.0158,0.92,0.89,0.95,0.9203,0.016
D — HOG,SVM,0.9032,0.8683,0.9346,0.903,0.0169,0.9033,0.8699,0.9367,0.9036,0.0169
Full(opt),KNN,0.9002,0.866,0.9322,0.9002,0.0169,0.9,0.8667,0.9333,0.9005,0.017
D — HOG,KNN,0.8967,0.8626,0.9283,0.8964,0.017,0.8967,0.86,0.93,0.8969,0.0172
Full(opt),RF,0.8728,0.8339,0.9076,0.8724,0.0192,0.8733,0.8367,0.91,0.8735,0.0192
A+B+C(opt),RF,0.8569,0.8168,0.8972,0.8567,0.02,0.8567,0.8167,0.8967,0.857,0.0201
A+B+C(opt),SVM,0.8515,0.8089,0.8898,0.8511,0.0206,0.85,0.8067,0.89,0.8503,0.0208
D — HOG,RF,0.8463,0.8056,0.8845,0.846,0.0201,0.8467,0.8067,0.8867,0.847,0.0201
A+B,RF,0.8434,0.8011,0.8837,0.8426,0.0208,0.8433,0.8033,0.8833,0.8432,0.0208
B+C(opt),SVM,0.8347,0.792,0.873,0.8336,0.0211,0.8333,0.79,0.8733,0.833,0.0214
A+B,SVM,0.8339,0.7912,0.8739,0.8332,0.0208,0.8333,0.7933,0.8734,0.8334,0.0209
B — Tex(opt),RF,0.8228,0.7786,0.8651,0.8227,0.0221,0.8233,0.78,0.8667,0.824,0.0222
B+C(opt),RF,0.8163,0.7722,0.8579,0.8157,0.0223,0.8167,0.7733,0.86,0.8167,0.0224
A+B,KNN,0.8093,0.7637,0.8542,0.8094,0.0226,0.81,0.7633,0.8533,0.8108,0.0227
B — Tex(opt),SVM,0.8001,0.7548,0.8433,0.7996,0.0228,0.8,0.7533,0.8433,0.8003,0.023
A — Stats,SVM,0.7867,0.7394,0.8325,0.7852,0.0236,0.7867,0.74,0.8333,0.786,0.0239
B+C(opt),KNN,0.7834,0.7355,0.8289,0.7829,0.0242,0.7867,0.74,0.8333,0.7869,0.0242
A+B+C(opt),KNN,0.7705,0.7216,0.8177,0.77,0.0245,0.77,0.72,0.82,0.7703,0.0248
A — Stats,RF,0.764,0.7144,0.8075,0.7622,0.0238,0.7633,0.7133,0.8067,0.7624,0.0241
C — DWT(opt),RF,0.754,0.7027,0.8036,0.7535,0.0252,0.7567,0.7067,0.8067,0.7571,0.0251
B — Tex(opt),KNN,0.7482,0.6985,0.7974,0.7476,0.0254,0.75,0.7,0.8,0.7504,0.0256
A — Stats,KNN,0.7427,0.6927,0.7928,0.7414,0.0249,0.74,0.69,0.7901,0.7396,0.0253
C — DWT(opt),SVM,0.7031,0.6516,0.7524,0.7021,0.026,0.7033,0.6533,0.7533,0.7035,0.026
C — DWT(opt),KNN,0.6932,0.6401,0.7448,0.6924,0.0264,0.7,0.6467,0.7501,0.7002,0.0262
