Feature Set,Model,N folds,F1 Mean,F1 Std,F1 CI Lower,F1 CI Upper,Acc Mean,Acc Std,Acc CI Lower,Acc CI Upper
Full(opt),SVM,5,0.8951,0.01,0.8827,0.9074,0.8953,0.0099,0.883,0.9077
Full(opt),RF,5,0.8775,0.0049,0.8715,0.8835,0.878,0.0041,0.8728,0.8832
Full(opt),KNN,5,0.8702,0.0201,0.8453,0.8952,0.871,0.02,0.8462,0.8958
D — HOG,SVM,5,0.8699,0.0182,0.8473,0.8925,0.8705,0.018,0.8481,0.8929
A+B,SVM,5,0.8464,0.0049,0.8403,0.8525,0.8457,0.005,0.8395,0.8518
D — HOG,RF,5,0.8392,0.0191,0.8154,0.863,0.8405,0.0183,0.8178,0.8632
D — HOG,KNN,5,0.8386,0.0183,0.8159,0.8613,0.84,0.0181,0.8175,0.8625
A+B+C(opt),RF,5,0.8386,0.0083,0.8283,0.8489,0.8383,0.0079,0.8285,0.8481
A+B+C(opt),SVM,5,0.8385,0.0078,0.8288,0.8482,0.838,0.0078,0.8283,0.8477
A+B,RF,5,0.837,0.0045,0.8314,0.8427,0.8367,0.0042,0.8314,0.8419
B+C(opt),SVM,5,0.8287,0.0112,0.8148,0.8426,0.8287,0.0111,0.8148,0.8425
A+B,KNN,5,0.8279,0.0064,0.8199,0.8358,0.8275,0.0064,0.8196,0.8354
B+C(opt),RF,5,0.8199,0.0065,0.8118,0.828,0.82,0.0059,0.8126,0.8274
B — Tex(opt),SVM,5,0.8185,0.0082,0.8083,0.8287,0.8185,0.0079,0.8087,0.8283
A+B+C(opt),KNN,5,0.8167,0.0075,0.8073,0.826,0.8165,0.0076,0.8071,0.8259
B+C(opt),KNN,5,0.8019,0.0082,0.7918,0.8121,0.8023,0.008,0.7924,0.8122
B — Tex(opt),RF,5,0.796,0.0038,0.7913,0.8008,0.7963,0.0039,0.7915,0.8012
A — Stats,SVM,5,0.7914,0.0092,0.78,0.8029,0.7898,0.009,0.7786,0.8011
B — Tex(opt),KNN,5,0.7821,0.0045,0.7765,0.7877,0.7825,0.0048,0.7766,0.7884
A — Stats,RF,5,0.7598,0.009,0.7487,0.7709,0.7588,0.0091,0.7476,0.7701
A — Stats,KNN,5,0.7493,0.0046,0.7435,0.7551,0.7467,0.0044,0.7411,0.7522
C — DWT(opt),SVM,5,0.7286,0.0086,0.718,0.7392,0.729,0.0093,0.7174,0.7406
C — DWT(opt),RF,5,0.7278,0.0232,0.6989,0.7566,0.7287,0.0229,0.7002,0.7572
C — DWT(opt),KNN,5,0.6998,0.0266,0.6668,0.7328,0.7015,0.026,0.6692,0.7338
