tier,model,eval_mode,fold,acc,f1_macro,f1_weighted,precision_macro,recall_macro,fit_time_s,f1_macro_std,acc_std
0,vgg16,split,,0.9153094462540716,0.9096492401758057,0.9170784387420715,,,46.60088777542114,,
0,vgg16,cv5_mean,,0.933680250342815,0.9327148019965955,,,,227.27109932899475,0.022338420845801708,0.023340800873000004
0,resnet50,split,,0.9413680781758957,0.9354438523928407,0.9412540297870157,,,110.12253522872925,,
0,resnet50,cv5_mean,,0.9479483843746704,0.9468676289662505,,,,386.358683347702,0.017167452135011762,0.015834851529292076
0,efficientnet_b0,split,,0.9332247557003257,0.9262963797393967,0.9337494013905288,,,81.31044244766235,,
0,efficientnet_b0,cv5_mean,,0.9378643507612251,0.937001976999791,,,,537.7805802822113,0.018906722044429315,0.019787772092063994
0,vit_b_16,split,,0.8566775244299675,0.8421263466189082,0.8576642801886454,,,153.72910141944885,,
0,vit_b_16,cv5_mean,,0.915175275130973,0.9132771925587351,,,,1292.0622806549072,0.03154237700059301,0.031077051887587248
1,cnn_glcm,split,,0.9234527687296417,0.9156685828295998,0.9234959465808856,,,101.7942316532135,,
1,cnn_glcm,cv5_mean,,0.911019303118737,0.9094699875711274,,,,293.9151635169983,0.021178756828671173,0.021217426519302005
1,lbpnet,split,,0.9397394136807817,0.9335457604277421,0.9400590259670044,,,88.40224003791809,,
1,lbpnet,cv5_mean,,0.9277768010970078,0.9249963867903006,,,,289.7624146938324,0.017548803882486242,0.01672873404012932
1,waveletcnn,split,,0.9267100977198697,0.9174977135540515,0.926009643886416,,,60.70116591453552,,
1,waveletcnn,cv5_mean,,0.9168594634506523,0.9129907663903932,,,,273.7007439136505,0.045900798185447754,0.042493333973608126
1,cnn_hog,split,,0.9397394136807817,0.934064872325742,0.9406384499699895,,,67.5004334449768,,
1,cnn_hog,cv5_mean,,0.9336872824443585,0.9309079340362825,,,,340.72349286079407,0.022304261908206367,0.02285130060277365
2,multibranch_fusion,split,,0.9299674267100977,0.9226067345595689,0.9305714329274454,,,143.1058702468872,,
2,multibranch_fusion,cv5_mean,,0.8925108118561231,0.8898856735498525,,,,519.2220213413239,0.037425975901844,0.03413536736916599
2,attention_fusion,split,,0.9087947882736156,0.9007736418651916,0.9085656107008478,,,92.24821472167969,,
2,attention_fusion,cv5_mean,,0.8933370837874899,0.8879654277850696,,,,423.04885697364807,0.06539166087080879,0.05865519210370042
