dl_model,dl_tier,dl_f1_macro,dl_acc,phase2_feature_set,phase2_best_model,phase2_f1_macro,phase2_acc,delta_f1_dl_minus_p2
vgg16,0,0.9096492401758057,0.9153094462540716,,,,,
resnet50,0,0.9354438523928407,0.9413680781758957,,,,,
efficientnet_b0,0,0.9262963797393967,0.9332247557003257,,,,,
vit_b_16,0,0.8421263466189082,0.8566775244299675,,,,,
cnn_glcm,1,0.9156685828295998,0.9234527687296417,B — Tex(opt),XGBoost,0.8268205261821729,0.8266666666666667,0.0888480566474269
lbpnet,1,0.9335457604277421,0.9397394136807817,B — Tex(opt),XGBoost,0.8268205261821729,0.8266666666666667,0.10672523424556912
waveletcnn,1,0.9174977135540515,0.9267100977198697,C — DWT(opt),ExtraTrees,0.7599814881120542,0.7633333333333333,0.15751622544199728
cnn_hog,1,0.934064872325742,0.9397394136807817,D — HOG,SVM,0.9031871069595448,0.9033333333333332,0.03087776536619713
multibranch_fusion,2,0.9226067345595689,0.9299674267100977,Full(opt),SVM,0.9204011756506985,0.92,0.0022055589088704197
attention_fusion,2,0.9007736418651916,0.9087947882736156,Full(opt),SVM,0.9204011756506985,0.92,-0.019627533785506857
